,id,paragraph
37,r230111d,"Responding to climate change is not simply about taking into consideration the effects  of the   physical and  transition risks on financial stability actively taking steps that  helps influence the incentives and willingness of society such a way that mitigates adverse climate change. The most impactful channel for  central banks in this respect is through the expertise in the financial sector must be geared so as to ensure that sufficient  resources become available to finance the green transition. This requires a  collaborative approach , both among agencies within a country, as well as  internationally. Initiatives being pursued by bodies such as the Network of Central  Banks and Supervisors for Greening the Financial System are therefore critical."
38,r230111d, financial system
39,r230111d,". Incentives, mindsets, and "
40,r230111d, to alter their behaviours in 
41,r230111d,Forging ahead amidst shifting grounds
42,r230111d,"Mervyn King once said that central banking should be boring. There was a time when  that was true. There may come a day when it is true again. But that is not today. The  task at hand is far from straightforward. Maintaining economic and financial stability  require a steady hand amidst the shifting fault lines will  rapidly changing circumstances and distill the essence that policy should respond to. It  will incoming information and seek broad input from all stakeholders. And it will require  staying focused  on achieving our core mandates, ensuring that expectations for our  policy goals are commensurate with the tools we have while recognizing the potential  unintended side-effects of those tools."
43,r230111d, in our understanding of the world so that we can adapt to 
44,r230111d,. To see through the noise of 
45,r230111d, require humility
46,r230111d,"For 80 years, the Bank of Thailand's commitment to growth, stability and prosperity of  the Thai economy has been unwavering. We will remain steadfast to this commitment in "
47,r230111d,3/4
48,r230111d,BIS - Central bankers' speeches
49,r230111d,navigating through the uncertain terrain ahead. Thank you all again for being part of this  conference and I look forward to learning from your insights.
50,r230111d,4/4
51,r230111d,BIS - Central bankers' speeches
52,r230111d,
