,Unnamed: 0,url,title,description,date,author,id,climatebert_scores,unweighted_scores,probability_score,gpt_maximum_classification,gpt_average_classification,gpt_sum,gpt_length
17803,516,http://www.bis.org/review/r221020d.htm,François Villeroy de Galhau: Fiscal policy and the debt challenge in the present crisis,"Speech by Mr François Villeroy de Galhau, Governor of the Bank of France, at the G30 37th Annual International Banking Seminar, Washington DC, 15 October 2022.",2022-10-15 00:00:00,François Villeroy de Galhau,r221020d,1.1973589539527894,0.19012531042098998,0.595062655210495,0,0.0,0,1
17895,608,http://www.bis.org/review/r221109g.htm,Leong Sing Chiong: Remarks - Official Opening Ceremony of the FM Global Centre,"Remarks by Mr Leong Sing Chiong, Deputy Managing Director (Markets &amp; Development) of the Monetary Authority of Singapore, at the Official Opening Ceremony of the FM Global Centre, Singapore, 8 November 2022.",2022-11-08 00:00:00,Leong Sing Chiong,r221109g,1.8545763492584229,0.4285273551940918,0.7142636775970459,0,0.0,0,1
17978,691,http://www.bis.org/review/r221125h.htm,Johannes !Gawaxab: Maximising economic growth from renewable and non-renewable energy sources in Namibia,"Remarks by Mr Johannes !Gawaxab, Governor of the Bank of Namibia, at the Bank of Namibia's 23rd Annual symposium, Windhoek, 3 November 2022.",2022-11-03 00:00:00,Johannes !Gawaxab,r221125h,1.5973168565676763,0.36719544575764584,0.6835977228788229,0,0.0,0,1
18011,724,http://www.bis.org/review/r221212e.htm,François Villeroy de Galhau: The magnitude and distribution of the energy and trade shocks in the euro area and in France,"Speech by Mr François Villeroy de Galhau, Governor of the Bank of France, at the Toulouse School of Economics, Toulouse, 8 December 2022.",2022-12-08 00:00:00,François Villeroy de Galhau,r221212e,2.527748393160956,0.7772644800799233,0.8886322400399617,0,0.0,0,2
18298,250,http://www.bis.org/review/r230515b.htm,Christopher J Waller: Climate change and financial stability,"Speech by Mr Christopher J Waller, Member of the Board of Governors of the Federal Reserve System, at the IE University-Bank of Spain-Federal Reserve Bank of Saint Louis Conference ""Current Challenges in Economics &amp; Finance"", Madrid, 11 May 2023.",2023-05-11 00:00:00,Christopher J Waller,r230515b,1.2154737263917923,0.1241404198937946,0.5620702099468973,0,0.0,0,2
18413,365,http://www.bis.org/review/r230628b.htm,Howard Lee: Keynote speech - ASIFMA China Capital Markets Conference,"Keynote speech by Mr Howard Lee, Deputy Chief Executive of the Hong Kong Monetary Authority, at the ASIFMA China Capital Markets Conference, Hong Kong, 27 June 2023.",2023-06-27 00:00:00,Howard Lee,r230628b,1.4892067685723305,0.2491370514035225,0.6245685257017612,0,0.0,0,1
18418,370,http://www.bis.org/review/r230703b.htm,Ida Wolden Bache: Structural changes in energy markets and implications for inflation and monetary policy,"Introductory remarks by Ms Ida Wolden Bache, Governor of Norges Bank (Central Bank of Norway), at the European Central Bank Forum on Central Banking 2023 ""Macroeconomic stabilisation in a volatile inflation environment"", Sintra, 27 June 2023.",2023-06-27 00:00:00,Ida Wolden Bache,r230703b,2.377819487342128,0.7306893247145193,0.8653446623572596,0,0.0,0,2
18473,425,http://www.bis.org/review/r230731p.htm,Harvesh Seegolam: Remarks - launch of the Regional Centre of Exellence workshop,"Remarks by Mr Harvesh Seegolam, Governor of the Bank of Mauritius, at the launch of the Regional Centre of Excellence workshop on Sovereign Debt Management, Sustainable Bonds, and Debt Transparency, Ebene, 26 July 2023.",2023-07-26 00:00:00,Harvesh Seegolam,r230731p,1.2172796527544658,0.13114744424819946,0.5655737221240997,0,0.0,0,1
18537,489,http://www.bis.org/review/r230922a.htm,"Ravi Menon: ASEAN, Alternative energy, and artificial intelligence","Keynote speech by Mr Ravi Menon, Managing Director of the Monetary Authority of Singapore, at the 61st ACI World Congress, Singapore, 21 September 2023.",2023-09-21 00:00:00,Ravi Menon,r230922a,1.1164872361266094,0.07658819271170575,0.5382940963558529,0,0.0,0,2
18646,598,https://www.bis.org/review/r231113f.htm,Ravi Menon: From risk to resilience - reinsurance for Asia's protection gaps,"Speech by Mr Ravi Menon, Managing Director of the Monetary Authority of Singapore, at the 19th Singapore International Reinsurance Conference 2023, Singapore, 30 October 2023.",2023-10-30 00:00:00,Ravi Menon,r231113f,1.3499338097042508,0.1853334550504331,0.5926667275252165,0,0.0,0,2
18826,36,https://www.bis.org/review/r240214l.htm,Pierre Wunsch: Strategic investment and reforms in view of enhancing EU's growth potential,"Opening keynote by Mr Pierre Wunsch, Governor of the National Bank of Belgium, at the European Semester Conference ""Inter-parliamentary conference on stability, economic coordination and governance in the EU"", Brussels, 13 February 2024. ",2024-02-13 00:00:00,Pierre Wunsch,r240214l,1.2774608809015024,0.15045238577801248,0.5752261928890062,0,0.0,0,2
