,id,gpt_maximum_classification,gpt_average_classification,gpt_sum,gpt_length
78,r970912a,0,0.0,0,2
79,r970905d,0,0.0,0,2
80,r970905c,0,0.0,0,1
81,r970905b,0,0.0,0,1
82,r970905a,0,0.0,0,3
83,r970829b,0,0.0,0,3
84,r970829a,0,0.0,0,2
85,r970819,0,0.0,0,2
86,r970806d,0,0.0,0,2
87,r970806b,0,0.0,0,1
88,r970806a,0,0.0,0,2
89,r970731d,0,0.0,0,2
90,r970731c,0,0.0,0,1
91,r970731b,0,0.0,0,3
92,r970731a,0,0.0,0,1
93,r970725d,0,0.0,0,1
94,r970725c,0,0.0,0,1
95,r970725b,0,0.0,0,2
96,r970725a,0,0.0,0,2
97,r970707b,0,0.0,0,2
98,r970707a,0,0.0,0,1
99,r970701d,0,0.0,0,1
100,r970701c,0,0.0,0,1
101,r970701b,0,0.0,0,2
102,r970701a,0,0.0,0,1
103,r970626c,0,0.0,0,2
104,r970626b,0,0.0,0,2
105,r970626a,0,0.0,0,2
106,r970624,0,0.0,0,2
107,r970619a,0,0.0,0,3
108,r970617b,0,0.0,0,2
109,r970617a,0,0.0,0,1
110,r970609c,0,0.0,0,2
111,r970609b,0,0.0,0,2
112,r970609a,0,0.0,0,2
113,r970605a,0,0.0,0,2
114,r970602f,0,0.0,0,2
115,r970602e,0,0.0,0,3
116,r970602d,0,0.0,0,1
117,r970602c,0,0.0,0,2
118,r970602b,0,0.0,0,1
119,r970602a,0,0.0,0,1
120,r970529f,0,0.0,0,3
121,r970529e,0,0.0,0,2
122,r970529d,0,0.0,0,2
123,r970529c,0,0.0,0,3
124,r970529b,0,0.0,0,2
125,r970529a,0,0.0,0,1
126,r970514b,0,0.0,0,2
127,r970514a,0,0.0,0,1
128,r970509f,0,0.0,0,1
129,r970509e,0,0.0,0,1
130,r970509d,0,0.0,0,1
131,r970509c,0,0.0,0,1
132,r970509b,0,0.0,0,1
133,r970509a,0,0.0,0,1
134,r970502f,0,0.0,0,2
135,r970502e,0,0.0,0,2
136,r970502d,0,0.0,0,3
137,r970502c,0,0.0,0,1
138,r970502b,0,0.0,0,2
139,r970502a,0,0.0,0,2
140,r970418c,0,0.0,0,2
141,r970418b,0,0.0,0,2
142,r970418a,0,0.0,0,2
143,r970417,0,0.0,0,2
144,r970411b,0,0.0,0,2
145,r970411a,0,0.0,0,2
146,r970409b,0,0.0,0,2
147,r970409a,0,0.0,0,1
148,r970408a,0,0.0,0,3
149,r970403h,0,0.0,0,5
150,r970403g,0,0.0,0,1
151,r970403e,0,0.0,0,2
152,r970403d,0,0.0,0,2
153,r970403c,0,0.0,0,2
154,r970403b,0,0.0,0,1
155,r970403a,0,0.0,0,1
156,r970403f,0,0.0,0,2
157,r970326b,0,0.0,0,1
158,r970326a,0,0.0,0,2
159,r970321f,0,0.0,0,1
160,r970321e,0,0.0,0,2
161,r970321d,0,0.0,0,1
162,r970321c,0,0.0,0,1
163,r970321b,0,0.0,0,3
164,r970321a,0,0.0,0,1
165,r970312d,0,0.0,0,1
166,r970312c,0,0.0,0,1
167,r970312b,0,0.0,0,2
168,r970312a,0,0.0,0,3
169,r970310b,0,0.0,0,3
170,r970310a,0,0.0,0,1
171,r970305g,0,0.0,0,2
172,r970305f,0,0.0,0,1
173,r970305e,0,0.0,0,4
174,r970305d,0,0.0,0,2
175,r970305c,0,0.0,0,1
176,r970305b,0,0.0,0,2
177,r970305a,0,0.0,0,1
178,r970228b,0,0.0,0,3
179,r970228a,0,0.0,0,1
180,r970227e,0,0.0,0,2
181,r970227d,0,0.0,0,1
182,r970227c,0,0.0,0,2
183,r970227b,0,0.0,0,1
184,r970227a,0,0.0,0,2
185,r970219c,0,0.0,0,2
186,r970219b,0,0.0,0,2
187,r970219a,0,0.0,0,8
188,r970214b,0,0.0,0,2
189,r970214d,0,0.0,0,2
190,r970214c,0,0.0,0,2
191,r970214a,0,0.0,0,1
192,r970207a,0,0.0,0,2
193,r970207b,0,0.0,0,2
194,r970205b,0,0.0,0,1
195,r970205a,0,0.0,0,2
196,r970204,0,0.0,0,3
197,r970203a,0,0.0,0,2
198,r970131,0,0.0,0,3
199,r970129,0,0.0,0,2
200,r970122b,0,0.0,0,1
201,r970122a,0,0.0,0,2
202,r970121b,0,0.0,0,1
203,r970121a,0,0.0,0,2
204,r970116,0,0.0,0,2
205,r970115b,0,0.0,0,1
206,r970108a,0,0.0,0,2
207,r981029b,0,0.0,0,2
208,r981029a,0,0.0,0,2
209,r980603e,0,0.0,0,2
210,r980312a,0,0.0,0,4
211,r980126b,0,0.0,0,1
212,r980126a,0,0.0,0,2
213,r990209b,0,0.0,0,2
214,r990108d,0,0.0,0,1
215,r981221b,0,0.0,0,2
216,r981221a,0,0.0,0,2
217,r981218c,0,0.0,0,2
218,r981218b,0,0.0,0,1
219,r981218a,0,0.0,0,1
220,r981210f,0,0.0,0,2
221,r981210e,0,0.0,0,1
222,r981210d,0,0.0,0,2
223,r981210c,0,0.0,0,2
224,r981210b,0,0.0,0,2
225,r981210a,0,0.0,0,3
226,r981204f,0,0.0,0,2
227,r981204e,0,0.0,0,2
228,r981204d,0,0.0,0,2
229,r981204c,0,0.0,0,1
230,r981203b,0,0.0,0,2
231,r981203a,0,0.0,0,2
232,r981126e,0,0.0,0,1
233,r981126d,0,0.0,0,2
234,r981126c,0,0.0,0,2
235,r981126b,0,0.0,0,2
236,r981126a,0,0.0,0,2
237,r981120d,0,0.0,0,2
238,r981120c,0,0.0,0,2
239,r981120b,0,0.0,0,1
240,r981118a,0,0.0,0,5
241,r981113c,0,0.0,0,1
242,r981113b,0,0.0,0,2
243,r981113a,0,0.0,0,1
244,r981109k,0,0.0,0,2
245,r981109j,0,0.0,0,1
246,r981109i,0,0.0,0,1
247,r981109h,0,0.0,0,1
248,r981109g,0,0.0,0,2
249,r981109f,0,0.0,0,1
250,r981109e,0,0.0,0,2
251,r981109d,0,0.0,0,2
252,r981109c,0,0.0,0,2
253,r981109b,0,0.0,0,1
254,r981109a,0,0.0,0,2
255,r981027k,0,0.0,0,1
256,r981027j,0,0.0,0,2
257,r981027i,0,0.0,0,2
258,r981027h,0,0.0,0,1
259,r981027g,0,0.0,0,2
260,r981027f,0,0.0,0,3
261,r981027e,0,0.0,0,2
262,r981027d,0,0.0,0,3
263,r981027c,0,0.0,0,2
264,r981027b,0,0.0,0,2
265,r981027a,0,0.0,0,2
266,r981022h,0,0.0,0,2
267,r981022g,0,0.0,0,2
268,r981022f,0,0.0,0,3
269,r981022e,0,0.0,0,1
270,r981022d,0,0.0,0,2
271,r981022c,0,0.0,0,2
272,r981022b,0,0.0,0,3
273,r981022a,0,0.0,0,2
274,r981016c,0,0.0,0,1
275,r981016b,0,0.0,0,2
276,r981016a,0,0.0,0,2
277,r981014h,0,0.0,0,2
278,r981014g,0,0.0,0,1
279,r981012f,0,0.0,0,2
280,r981012e,0,0.0,0,1
281,r981012d,0,0.0,0,2
282,r981012c,0,0.0,0,2
283,r981012b,0,0.0,0,1
284,r981012a,0,0.0,0,1
285,r980928c,0,0.0,0,2
286,r980928b,0,0.0,0,2
287,r980928a,0,0.0,0,2
288,r980922,0,0.0,0,3
289,r980918d,0,0.0,0,1
290,r980918c,0,0.0,0,1
291,r980918b,0,0.0,0,1
292,r980918a,0,0.0,0,2
293,r980916c,0,0.0,0,1
294,r980916b,0,0.0,0,1
295,r980916a,0,0.0,0,2
296,r980911c,0,0.0,0,2
297,r980911b,0,0.0,0,2
298,r980911a,0,0.0,0,1
299,r980904c,0,0.0,0,2
300,r980904b,0,0.0,0,1
301,r980904a,0,0.0,0,1
302,r980830e,0,0.0,0,1
303,r980830d,0,0.0,0,2
304,r980830c,0,0.0,0,2
305,r980830b,0,0.0,0,2
306,r980830a,0,0.0,0,1
307,r980804b,0,0.0,0,2
308,r980804a,0,0.0,0,2
309,r980724b,0,0.0,0,3
310,r980724a,0,0.0,0,1
311,r980723a,0,0.0,0,5
312,r980717b,0,0.0,0,1
313,r980717a,0,0.0,0,2
314,r980713b,0,0.0,0,2
315,r980713a,0,0.0,0,2
316,r980710b,0,0.0,0,2
317,r980710a,0,0.0,0,2
318,r980626d,0,0.0,0,3
319,r980626c,0,0.0,0,1
320,r980626b,0,0.0,0,1
321,r980626a,0,0.0,0,2
322,r980616b,0,0.0,0,2
323,r980616a,0,0.0,0,1
324,r980610b,0,0.0,0,3
325,r980610a,0,0.0,0,1
326,r980606b,0,0.0,0,1
327,r980606a,0,0.0,0,1
328,r980603d,0,0.0,0,2
329,r980603c,0,0.0,0,1
330,r980603b,0,0.0,0,3
331,r980603a,0,0.0,0,4
332,r980527c,0,0.0,0,3
333,r980527b,0,0.0,0,1
334,r980527a,0,0.0,0,1
335,r980522a,0,0.0,0,3
336,r980518v,0,0.0,0,1
337,r980518u,0,0.0,0,2
338,r980518t,0,0.0,0,2
339,r980518s,0,0.0,0,2
340,r980518r,0,0.0,0,3
341,r980518q,0,0.0,0,2
342,r980518p,0,0.0,0,4
343,r980518o,0,0.0,0,1
344,r980518n,0,0.0,0,1
345,r980518m,0,0.0,0,1
346,r980518l,0,0.0,0,2
347,r980518k,0,0.0,0,1
348,r980518j,0,0.0,0,2
349,r980518i,0,0.0,0,1
350,r980518h,0,0.0,0,2
351,r980518g,0,0.0,0,2
352,r980518f,0,0.0,0,2
353,r980518e,0,0.0,0,2
354,r980518d,0,0.0,0,1
355,r980518c,0,0.0,0,2
356,r980518b,0,0.0,0,3
357,r980518a,0,0.0,0,2
358,r980427b,0,0.0,0,2
359,r980427a,0,0.0,0,1
360,r980421b,0,0.0,0,2
361,r980421a,0,0.0,0,1
362,r980417d,0,0.0,0,2
363,r980417c,0,0.0,0,2
364,r980417b,0,0.0,0,2
365,r980417a,0,0.0,0,2
366,r980407b,0,0.0,0,1
367,r980407a,0,0.0,0,2
368,r980401b,0,0.0,0,2
369,r980401a,0,0.0,0,1
370,r980327c,0,0.0,0,2
371,r980327b,0,0.0,0,3
372,r980327a,0,0.0,0,5
373,r980325e,0,0.0,0,1
374,r980325d,0,0.0,0,3
375,r980325c,0,0.0,0,2
376,r980325b,0,0.0,0,2
377,r980325a,0,0.0,0,3
378,r980318e,0,0.0,0,1
379,r980318d,0,0.0,0,2
380,r980318c,0,0.0,0,2
381,r980318b,0,0.0,0,2
382,r980318a,0,0.0,0,1
383,r980311e,0,0.0,0,2
384,r980311d,0,0.0,0,2
385,r980311c,0,0.0,0,2
386,r980311b,0,0.0,0,2
387,r980309b,0,0.0,0,2
388,r980304c,0,0.0,0,2
389,r980304b,0,0.0,0,2
390,r980304a,0,0.0,0,3
391,r980227e,0,0.0,0,3
392,r980227c,0,0.0,0,1
393,r980227b,0,0.0,0,2
394,r980227a,0,0.0,0,1
395,r980219c,0,0.0,0,1
396,r980219b,0,0.0,0,1
397,r980219a,0,0.0,0,3
398,r980213e,0,0.0,0,2
399,r980213d,0,0.0,0,1
400,r980213c,0,0.0,0,2
401,r980213b,0,0.0,0,2
402,r980213a,0,0.0,0,1
403,r980205b,0,0.0,0,2
404,r980205a,0,0.0,0,2
405,r980202b,0,0.0,0,2
406,r980202a,0,0.0,0,1
407,r980114d,0,0.0,0,2
408,r980114c,0,0.0,0,2
409,r980114b,0,0.0,0,2
410,r000131b,0,0.0,0,4
411,r981029c,0,0.0,0,1
412,r991220c,0,0.0,0,1
413,r991220b,0,0.0,0,1
414,r991220a,0,0.0,0,2
415,r991210c,0,0.0,0,1
416,r991210b,0,0.0,0,2
417,r991210a,0,0.0,0,2
418,r991208b,0,0.0,0,2
419,r991208a,0,0.0,0,1
420,r991207b,0,0.0,0,2
421,r991207a,0,0.0,0,2
422,r991201c,0,0.0,0,2
423,r991201b,0,0.0,0,1
424,r991201a,0,0.0,0,1
425,r991130c,0,0.0,0,2
426,r991130b,0,0.0,0,2
427,r991130a,0,0.0,0,2
428,r991126c,0,0.0,0,1
429,r991126b,0,0.0,0,1
430,r991126a,0,0.0,0,2
431,r991124d,0,0.0,0,2
432,r991124c,0,0.0,0,2
433,r991124b,0,0.0,0,1
434,r991124a,0,0.0,0,1
435,r991123b,0,0.0,0,3
436,r991123a,0,0.0,0,2
437,r991118c,0,0.0,0,1
438,r991118b,0,0.0,0,2
439,r991118a,0,0.0,0,2
440,r991115d,0,0.0,0,1
441,r991115c,0,0.0,0,1
442,r991115b,0,0.0,0,1
443,r991115a,0,0.0,0,2
444,r991111c,0,0.0,0,2
445,r991111b,0,0.0,0,1
446,r991111a,0,0.0,0,3
447,r991109c,0,0.0,0,1
448,r991109b,0,0.0,0,2
449,r991109a,0,0.0,0,1
450,r991108b,0,0.0,0,2
451,r991108a,0,0.0,0,2
452,r991105a,0,0.0,0,3
453,r991103a,0,0.0,0,3
454,r991102b,0,0.0,0,2
455,r991102a,0,0.0,0,2
456,r991101b,0,0.0,0,2
457,r991101a,0,0.0,0,2
458,r991029b,0,0.0,0,2
459,r991029a,0,0.0,0,2
460,r991027b,0,0.0,0,3
461,r991027a,0,0.0,0,2
462,r991026b,0,0.0,0,2
463,r991026a,0,0.0,0,2
464,r991022c,0,0.0,0,1
465,r991022b,0,0.0,0,2
466,r991022a,0,0.0,0,2
467,r991021b,0,0.0,0,2
468,r991021a,0,0.0,0,2
469,r991019c,0,0.0,0,1
470,r991019b,0,0.0,0,2
471,r991019a,0,0.0,0,1
472,r991015b,0,0.0,0,2
473,r991015a,0,0.0,0,3
474,r991014a,0,0.0,0,4
475,r991013c,0,0.0,0,1
476,r991013b,0,0.0,0,2
477,r991013a,0,0.0,0,1
478,r991012c,0,0.0,0,2
479,r991012b,0,0.0,0,1
480,r991012a,0,0.0,0,2
481,r991008b,0,0.0,0,5
482,r991008a,0,0.0,0,2
483,r991006b,0,0.0,0,3
484,r991006a,0,0.0,0,2
485,r991005c,0,0.0,0,2
486,r991005b,0,0.0,0,1
487,r991005a,0,0.0,0,1
488,r991004b,0,0.0,0,2
489,r991004a,0,0.0,0,1
490,r990930b,0,0.0,0,2
491,r990930a,0,0.0,0,1
492,r990929b,0,0.0,0,1
493,r990929a,0,0.0,0,4
494,r990928b,0,0.0,0,2
495,r990928a,0,0.0,0,2
496,r990927b,0,0.0,0,1
497,r990927a,0,0.0,0,2
498,r990923b,0,0.0,0,2
499,r990923a,0,0.0,0,2
500,r990922c,0,0.0,0,2
501,r990922b,0,0.0,0,1
502,r990922a,0,0.0,0,2
503,r990920c,0,0.0,0,2
504,r990920b,0,0.0,0,1
505,r990920a,0,0.0,0,1
506,r990914c,0,0.0,0,1
507,r990914b,0,0.0,0,2
508,r990914a,0,0.0,0,1
509,r990913a,0,0.0,0,4
510,r990910b,0,0.0,0,3
511,r990910a,0,0.0,0,1
512,r990908c,0,0.0,0,3
513,r990908b,0,0.0,0,2
514,r990908a,0,0.0,0,1
515,r990906c,0,0.0,0,1
516,r990906b,0,0.0,0,2
517,r990906a,0,0.0,0,2
518,r990831a,0,0.0,0,3
519,r990830b,0,0.0,0,2
520,r990830a,0,0.0,0,1
521,r990818c,0,0.0,0,1
522,r990818b,0,0.0,0,2
523,r990818a,0,0.0,0,2
524,r990812c,0,0.0,0,1
525,r990812b,0,0.0,0,1
526,r990812a,0,0.0,0,2
527,r990809b,0,0.0,0,2
528,r990809a,0,0.0,0,3
529,r990729a,0,0.0,0,3
530,r990726a,0,0.0,0,2
531,r990722b,0,0.0,0,3
532,r990722a,0,0.0,0,1
533,r990716b,0,0.0,0,4
534,r990716a,0,0.0,0,1
535,r990712b,0,0.0,0,3
536,r990712a,0,0.0,0,2
537,r990709b,0,0.0,0,2
538,r990708b,0,0.0,0,1
539,r990708a,0,0.0,0,3
540,r990709a,0,0.0,0,2
541,r990707b,0,0.0,0,3
542,r990707a,0,0.0,0,1
543,r990706a,0,0.0,0,3
544,r990705a,0,0.0,0,2
545,r990705b,0,0.0,0,2
546,r990630b,0,0.0,0,2
547,r990630a,0,0.0,0,1
548,r990625b,0,0.0,0,1
549,r990625a,0,0.0,0,2
550,r990622b,0,0.0,0,2
551,r990622a,0,0.0,0,2
552,r990621b,0,0.0,0,1
553,r990621a,0,0.0,0,1
554,r990618b,0,0.0,0,1
555,r990618a,0,0.0,0,2
556,r9906166,0,0.0,0,4
557,r990615b,0,0.0,0,2
558,r990615a,0,0.0,0,2
559,r990611b,0,0.0,0,2
560,r990611a,0,0.0,0,1
561,r990610b,0,0.0,0,3
562,r990610a,0,0.0,0,3
563,r990609a,0,0.0,0,4
564,r990603b,0,0.0,0,2
565,r990603a,0,0.0,0,1
566,r990601a,0,0.0,0,1
567,r990601b,0,0.0,0,4
568,r990531b,0,0.0,0,2
569,r990531a,0,0.0,0,2
570,r990528b,0,0.0,0,1
571,r990528a,0,0.0,0,2
572,r990527b,0,0.0,0,2
573,r990527a,0,0.0,0,1
574,r990526b,0,0.0,0,2
575,r990526a,0,0.0,0,2
576,r990525b,0,0.0,0,1
577,r990525a,0,0.0,0,2
578,r990521b,0,0.0,0,1
579,r990521a,0,0.0,0,2
580,r990520b,0,0.0,0,1
581,r990520a,0,0.0,0,1
582,r990519b,0,0.0,0,2
583,r990519a,0,0.0,0,1
584,r990518b,0,0.0,0,1
585,r990518a,0,0.0,0,2
586,r990514c,0,0.0,0,1
587,r990514b,0,0.0,0,2
588,r990514a,0,0.0,0,2
589,r990512b,0,0.0,0,1
590,r990512a,0,0.0,0,3
591,r990510c,0,0.0,0,1
592,r990510b,0,0.0,0,1
593,r990510a,0,0.0,0,2
594,r990507b,0,0.0,0,1
595,r990507a,0,0.0,0,1
596,r990506b,0,0.0,0,2
597,r990506a,0,0.0,0,3
598,r990505b,0,0.0,0,1
599,r990505a,0,0.0,0,2
600,r990504b,0,0.0,0,2
601,r990504a,0,0.0,0,2
602,r990430b,0,0.0,0,1
603,r990430a,0,0.0,0,2
604,r990429b,0,0.0,0,2
605,r990429a,0,0.0,0,2
606,r990428b,0,0.0,0,3
607,r990428a,0,0.0,0,1
608,r990427b,0,0.0,0,2
609,r990427a,0,0.0,0,2
610,r990426b,0,0.0,0,2
611,r990426a,0,0.0,0,1
612,r9904264,0,0.0,0,1
613,r990420b,0,0.0,0,2
614,r990420a,0,0.0,0,1
615,r990419b,0,0.0,0,1
616,r990419a,0,0.0,0,2
617,r990413b,0,0.0,0,2
618,r990413a,0,0.0,0,2
619,r990406b,0,0.0,0,2
620,r990406a,0,0.0,0,1
621,r990401b,0,0.0,0,2
622,r990401a,0,0.0,0,2
623,r990331a,0,0.0,0,3
624,r990330b,0,0.0,0,2
625,r990330a,0,0.0,0,3
626,r990329c,0,0.0,0,2
627,r990329b,0,0.0,0,1
628,r990329a,0,0.0,0,2
629,r990326b,0,0.0,0,2
630,r990326a,0,0.0,0,2
631,r990324b,0,0.0,0,2
632,r990324a,0,0.0,0,2
633,r990319c,0,0.0,0,1
634,r990319b,0,0.0,0,2
635,r990319a,0,0.0,0,1
636,r990317a,0,0.0,0,4
637,r990316b,0,0.0,0,1
638,r990316a,0,0.0,0,2
639,r990312a,0,0.0,0,2
640,r990311b,0,0.0,0,2
641,r990311a,0,0.0,0,1
642,r990308b,0,0.0,0,2
643,r990308a,0,0.0,0,1
644,r990302b,0,0.0,0,2
645,r990302a,0,0.0,0,3
646,r990301a,0,0.0,0,3
647,r990224a,0,0.0,0,4
648,r990223a,0,0.0,0,2
649,r990225b,0,0.0,0,2
650,r990225a,0,0.0,0,3
651,r990218b,0,0.0,0,2
652,r990218a,0,0.0,0,2
653,r990215c,0,0.0,0,2
654,r990215b,0,0.0,0,2
655,r990215a,0,0.0,0,1
656,r990211c,0,0.0,0,2
657,r990211b,0,0.0,0,1
658,r990211a,0,0.0,0,1
659,r990209c,0,0.0,0,1
660,r990209a,0,0.0,0,1
661,r990208b,0,0.0,0,2
662,r990208a,0,0.0,0,3
663,r990205b,0,0.0,0,2
664,r990205a,0,0.0,0,2
665,r990202a,0,0.0,0,3
666,r990218c,0,0.0,0,1
667,r990129b,0,0.0,0,1
668,r990129a,0,0.0,0,2
669,r990127b,0,0.0,0,2
670,r990127a,0,0.0,0,2
671,r990122d,0,0.0,0,1
672,r990122c,0,0.0,0,2
673,r990122b,0,0.0,0,1
674,r990122a,0,0.0,0,2
675,r990121c,0,0.0,0,2
676,r990121b,0,0.0,0,1
677,r990121a,0,0.0,0,1
678,r990119b,0,0.0,0,2
679,r990119a,0,0.0,0,2
680,r990118d,0,0.0,0,2
681,r990118c,0,0.0,0,1
682,r990118b,0,0.0,0,3
683,r990111a,0,0.0,0,2
684,r990108c,0,0.0,0,3
685,r990108b,0,0.0,0,1
686,r990108a,0,0.0,0,2
687,r991206c,0,0.0,0,2
688,r991206b,0,0.0,0,2
689,r991206a,0,0.0,0,1
690,r991103b,0,0.0,0,2
691,r010205a,0,0.0,0,3
692,r010115b,0,0.0,0,2
693,r001222c,0,0.0,0,1
694,r001222b,0,0.0,0,1
695,r001222a,0,0.0,0,2
696,r001218c,0,0.0,0,1
697,r001218b,0,0.0,0,2
698,r001218a,0,0.0,0,2
699,r001212c,0,0.0,0,2
700,r001212b,0,0.0,0,2
701,r001212a,0,0.0,0,1
702,r001208b,0,0.0,0,5
703,r001208a,0,0.0,0,2
704,r001205c,0,0.0,0,1
705,r001205b,0,0.0,0,3
706,r001205a,0,0.0,0,2
707,r001201b,0,0.0,0,1
708,r001201a,0,0.0,0,2
709,r001130c,0,0.0,0,1
710,r001130b,0,0.0,0,2
711,r001130a,0,0.0,0,1
712,r001129c,1,1.0,1,1
713,r001129b,0,0.0,0,1
714,r001129a,0,0.0,0,2
715,r001128d,0,0.0,0,1
716,r001128c,0,0.0,0,2
717,r001128b,0,0.0,0,1
718,r001128a,0,0.0,0,1
719,r001127b,0,0.0,0,2
720,r001127a,0,0.0,0,1
721,r001123a,0,0.0,0,3
722,r001121a,0,0.0,0,3
723,r001120c,0,0.0,0,1
724,r001120b,0,0.0,0,2
725,r001120a,0,0.0,0,2
726,r001117c,0,0.0,0,2
727,r001117b,0,0.0,0,2
728,r001117a,0,0.0,0,2
729,r001115c,0,0.0,0,1
730,r001115b,0,0.0,0,2
731,r001115a,0,0.0,0,2
732,r001113c,0,0.0,0,2
733,r001113b,0,0.0,0,1
734,r001113a,0,0.0,0,1
735,r001110b,0,0.0,0,2
736,r001110a,0,0.0,0,2
737,r001106c,0,0.0,0,2
738,r001106b,0,0.0,0,3
739,r001106a,0,0.0,0,1
740,r001103c,0,0.0,0,3
741,r001103b,0,0.0,0,1
742,r001103a,0,0.0,0,1
743,r001031b,0,0.0,0,4
744,r001031a,0,0.0,0,2
745,r001030c,0,0.0,0,1
746,r001030b,0,0.0,0,2
747,r001030a,0,0.0,0,2
748,r001027a,0,0.0,0,5
749,r001026c,0,0.0,0,2
750,r001026b,0,0.0,0,2
751,r001026a,0,0.0,0,1
752,r001024c,0,0.0,0,2
753,r001024b,0,0.0,0,2
754,r001024a,0,0.0,0,1
755,r001023b,0,0.0,0,3
756,r001023a,0,0.0,0,2
757,r001020b,0,0.0,0,4
758,r001020a,0,0.0,0,2
759,r001019c,0,0.0,0,2
760,r001019b,0,0.0,0,2
761,r001019a,0,0.0,0,1
762,r001018c,0,0.0,0,1
763,r001018b,0,0.0,0,2
764,r001018a,0,0.0,0,3
765,r001016c,0,0.0,0,2
766,r001016b,0,0.0,0,2
767,r001016a,0,0.0,0,1
768,r001012c,0,0.0,0,2
769,r001012b,0,0.0,0,2
770,r001012a,0,0.0,0,2
771,r001011c,0,0.0,0,1
772,r001011b,0,0.0,0,2
773,r001010c,0,0.0,0,1
774,r001010b,0,0.0,0,2
775,r001010a,0,0.0,0,2
776,r001009c,0,0.0,0,2
777,r001009b,0,0.0,0,2
778,r001009a,0,0.0,0,1
779,r001005c,0,0.0,0,1
780,r001005b,0,0.0,0,3
781,r001005a,0,0.0,0,2
782,r001004c,0,0.0,0,4
783,r001004b,0,0.0,0,2
784,r001004a,0,0.0,0,2
785,r001003b,0,0.0,0,3
786,r001003a,0,0.0,0,2
787,r000927b,0,0.0,0,2
788,r000927a,0,0.0,0,2
789,r000926b,0,0.0,0,3
790,r000926a,0,0.0,0,3
791,r000925c,0,0.0,0,1
792,r000925b,0,0.0,0,2
793,r000925a,0,0.0,0,2
794,r000922b,0,0.0,0,3
795,r000922a,0,0.0,0,3
796,r000921b,0,0.0,0,1
797,r000921a,0,0.0,0,3
798,r000920c,0,0.0,0,1
799,r000920b,0,0.0,0,2
800,r000920a,0,0.0,0,2
801,r000918c,0,0.0,0,1
802,r000918b,0,0.0,0,2
803,r000918a,0,0.0,0,2
804,r000915c,0,0.0,0,2
805,r000915b,0,0.0,0,2
806,r000915a,0,0.0,0,2
807,r000914b,0,0.0,0,4
808,r000914a,0,0.0,0,1
809,r000911b,0,0.0,0,3
810,r000911a,0,0.0,0,2
811,r000907b,0,0.0,0,2
812,r000907a,0,0.0,0,2
813,r000904c,0,0.0,0,1
814,r000904b,0,0.0,0,2
815,r000904a,0,0.0,0,2
816,r000831a,0,0.0,0,3
817,r000830c,0,0.0,0,3
818,r000830b,0,0.0,0,2
